2.4.2.c.6.4,22,Unequal Technology Utilization,Description: Local language speakers lack equal access in terms of utilization of AI technology
2.4.2.c.6.5,22,Unequal Technology Control,Description: Local language speakers lack equal access in terms of control of AI technology
2.4.2.c.6.6,22,Unequal Design Participation,Description: Local language speakers lack equal access in terms of participation in design and model training processes
2.4.2.c.7,22,Cultural Data Exploitation,
2.4.2.c.7.1,22,Traditional Cultural Expression Misuse,"Description: Use of traditional cultural motifs, languages, or expressions as training data without consent or benefit return to origin communities"
2.4.2.c.7.2,22,Data Colonialism Reinforcement,Description: Can strengthen data colonialism and cultural power inequality
2.4.2.d,23,Environmental risks,
2.4.2.d.1,23,Environmentally Destructive Mining,"Description: Microchips that drive AI require certain metal elements, which are often mined in environmentally destructive way"
2.4.2.d.2,23,Hazardous Electronic Waste,Data centers often produce electronic waste containing hazardous substances such as mercury and lead
2.4.2.d.3,23,Water Usage,Intensive water usage during construction and operation to cool down the electrical components
2.4.2.d.4,23,Greenhouse Emissions,"Large datacenters require a lot of electricity, mostly from fossil fuels, leading to increased emission"
2.4.2.e.,23,Discrimination,
2.4.2.e.1,23,Bias towards vulnerable population,
2.4.2.f.,24,Declining trust to democracy institution,
2.4.2.f.1,24,Declining trust to democracy institution,
2.4.2.f.2,24,Deepfakes to manipulate opinions,
2.4.2.f.3,24,Risks from unaccountable / unexplainable AI-based decisions,
3.1.1,26,Analysis of Current Condition : Ethics,
3.1.1.1,28,Social Protection - AI Capabilities Gap,Social protection values might not keep up with technology development pace
3.1.1.2,28,Bias,Risks from AI bias
3.1.1.3,28,AI misuse by malicious actors - Deepfakes,
3.1.1.4,28,AI misuse by malicious actors - Automated discrimination,
3.1.1.5,28,AI misuse by malicious actors - Mass surveillances,
3.1.1.4,29,AI misuse by malicious actors - system hacking,Generally should fall under AI-assisted cybersecurity risks
3.1.1.5,29,AI misuse by malicious actors - data theft,Generally should fall under AI-assisted cybersecurity risks
3.1.1.6,29,AI misuse by malicious actors - attack detection avoidance,Generally should fall under AI-assisted cybersecurity risks
